Chicken	Duck
CNKSR2	CNKSR2
RAPGEF5	RAPGEF5
FRMPD4	FRMPD4
KCTD21	KCTD21
ABRAXAS2	ABRAXAS2
ALG8	ALG8
PTPRM	PTPRM
TINAG	TINAG
EMX2	EMX2
RAB11FIP2	RAB11FIP2
ARHGAP6	ARHGAP6
LAMA1	LAMA1
PLEKHA8	PLEKHA8
MLIP	MLIP
FAM204A	FAM204A
KCTD14	KCTD14
LRRC1	LRRC1
INTS4	INTS4
COLQ	COLQ
MID1	MID1
ARHGAP28	ARHGAP28
CLCN4	CLCN4
KLHL31	KLHL31
WWC3	WWC3
GCLC	GCLC
FAM126A	HYCC1
RSF1	RSF1
HACL1	HACL1
POLA1	POLA1
AQP11	AQP11
PCYT1B	PCYT1B
BTD	BTD
GDPD4	GDPD4
ANKRD28	ANKRD28
ELOVL5	ELOVL5
PDK3	PDK3
MYO7A	MYO7A
CLDN34	CLDN34
CACUL1	CACUL1
EIF3A	EIF3A
GALNT15	GALNT15
CAPN5	CAPN5
CDKL5	CDKL5
GCM1	GCM1
FBXO9	FBXO9
ICK	CILK1
SHROOM2	SHROOM2
SFXN4	SFXN4
GPR143	GPR143
ACER3	ACER3
PRDX3	PRDX3
OXNAD1	OXNAD1
TMEM14A	TMEM14A
MXRA5	MXRA5
AGPAT5	AGPAT5
RFTN1	RFTN1
CXorf21	TASL
NR0B1	NR0B1
IMMP2L	IMMP2L
IL1RAPL1	IL1RAPL1
RGS10	RGS10
ST7	ST7
TGFBR2	TGFBR2
TSKU	TSKU
CAV1	CAV1
ANGPT2	ANGPT2
RNASEH1	RNASEH1
GYG2	GYG2
YAF2	YAF2
TPO	TPO
GXYLT1	GXYLT1
GADL1	GADL1
PRRG1	PRRG1
SNTG2	SNTG2
STT3B	STT3B
KHDRBS2	KHDRBS2
TMEM47	TMEM47
PRIM2	PRIM2
RAB23	RAB23
FAM49A	CYRIA
BAG2	BAG2
GPD1L	GPD1L
SCML2	SCML2
FBXO15	FBXO15
ZNF451	ZNF451
THAP12	THAP12
ZBED1	ZBED1
BEND6	BEND6
CMTM8	CMTM8
UFM1	UFM1
WNT11	WNT11
RAB31	RAB31
FREM2	FREM2
TRPC4	TRPC4
VSNL1	VSNL1
RAI2	RAI2
STK31	STK31
UVRAG	UVRAG
GEMIN8	GEMIN8
SMC6	SMC6
POSTN	POSTN
NPY	NPY
GEN1	GEN1
NHS	NHS
TDRD3	TDRD3
MPP6	PALS2
MCMBP	MCMBP
MYT1L	MYT1L
REPS2	REPS2
DFNA5	GSDME
GPM6B	GPM6B
CLN8	CLN8
CSMD1	CSMD1
RBBP7	RBBP7
ZRANB1	ZRANB1
TXLNG	TXLNG
OSBPL3	OSBPL3
KCNQ5	KCNQ5
DIAPH3	DIAPH3
OFD1	OFD1
CYCS	CYCS
RNF175	RNF121
TSSC1	EIPR1
PCDH17	PCDH17
SH3BGRL2	SH3BGRL2
CTBP2	CTBP2
TRAPPC12	TRAPPC12
CASK	CASK
TEX36	TEX36
CYB5R4	CYB5R4
BCKDHB	BCKDHB
GRHL1	GRHL1
GPR34	GPR34
ATP7B	ATP7B
TTK	TTK
RARB	RARB
GPR82	GPR82
USO1	USO1
KLF11	KLF11
EDRF1	EDRF1
RIMS1	RIMS1
RAB9A	RAB9A
ALG11	ALG11
TOP2B	TOP2B
NYX	NYX
ELOVL4	ELOVL4
G3BP2	G3BP2
RRM2	RRM2
ASRGL1	ASRGL1
NGLY1	NGLY1
UROS	UROS
NEK3	NEK3
OXSM	OXSM
OGFRL1	OGFRL1
PPME1	PPME1
COQ2	COQ2
BCCIP	BCCIP
RPL8	RPL8
DHX32	DHX32
OSR1	OSR1
TCEANC	TCEANC
C2CD3	C2CD3
VPS36	VPS36
TTC32	TTC32
HPSE	HPSE
DNAJB13	DNAJB13
ZBTB22	ZBTB22
LRRC3B	LRRC3B
MED14	MED14
SNAP91	SNAP91
THSD1	THSD1
ATP6AP2	ATP6AP2
WDR35	WDR35
EGFL6	EGFL6
PAAF1	PAAF1
GTPBP6	GTPBP6
ADAM12	ADAM12
BCOR	BCOR
HELQ	HELQ
MATN3	MATN3
GPR63	GPR63
DOCK1	DOCK1
FAM175A	ABRAXAS1
SLC4A7	SLC4A7
ATP6V1C2	ATP6V1C2
RPS6KA3	RPS6KA3
NMT2	NMT2
TRPA1	TRPA1
PLCXD1	PLCXD1
INSYN2A	INSYN2A
EOMES	EOMES
RPP38	RPP38
PDIA6	PDIA6
NPS	NPS
JPH1	JPH1
CLRN3	CLRN3
RAB6A	RAB6A
SLC25A15	SLC25A15
AZI2	AZI2
FHL5	FHL5
CHD7	CHD7
MRPS31	MRPS31
HPGD	HPGD
FOXO1	FOXO1
UFL1	UFL1
EIF1AX	EIF1AX
GLRA3	GLRA3
PQLC3	SLC66A3
CCNI	CCNI
OLAH	OLAH
CA8	CA8
COG6	COG6
MSC	MSC
LHFPL1	LHFPL6
TMEM196	TMEM196
KCNB2	KCNB2
JADE3	JADE3
ROCK2	ROCK2
PTPRE	PTPRE
NHLRC3	NHLRC3
TSPAN7	TSPAN7
RP2	RP2
E2F6	E2F6
PDK4	PDK4
PROSER1	PROSER1
FUT9	FUT9
NDUFA4	NDUFA4
SLC9A7	SLC9A7
STOML3	STOML3
GREB1	GREB1
RAB2A	RAB2A
MAP7D2	MAP7D2
NANOS1	NANOS1
OTC	OTC
TBX18	TBX18
FBXO8	FBXO8
CEP44	CEP44
CXorf23	BCLAF3
TUBGCP5	TUBGCP5
FAM171A1	FAM171A1
P2RY6	P2RY6
SH3KBP1	SH3KBP1
TRIM13	TRIM13
TERF1	TERF1
BMP3	BMP3
DLEU7	DLEU7
NXPH1	NXPH1
SBSPON	SBSPON
LPIN1	LPIN1
SRPX	SRPX
TRIB2	TRIB2
CEP162	CEP162
NIPA2	NIPA2
RNASEH2B	RNASEH2B
MRAP2	MRAP2
RASGEF1B	RASGEF1B
MAP3K15	MAP3K15
HERC2	HERC2
C2H8ORF46	VXN
FCHSD2	FCHSD2
OCA2	OCA2
GABRG3	GABRG3
MYBL1	MYBL1
SDCBP	SDCBP
FAM84A	LRATD1
VCPIP1	VCPIP1
TMEM106B	TMEM106B
SERPINH1	SERPINH1
INTS6	INTS6
GALNTL6	GALNTL6
GABRA5	GABRA5
ASB4	ASB4
VWDE	VWDE
GALNT7	GALNT7
HMGB2	HMGB2
GABRB3	GABRB3
GDPD5	GDPD5
DLX6	DLX6
NBAS	NBAS
WDFY2	WDFY2
CHST7	CHST7
SCRG1	SCRG1
ADGRG2	ADGRG2
DLX5	DLX5
PRSS35	PRSS35
OLFM4	OLFM4
ME1	ME1
HAND2	HAND2
NSMAF	NSMAF
PCDH8	PCDH8
DUSP4	DUSP4
LECT1	CNMD
CMTM7	CMTM7
MAP6	MAP6
PHKA2	PHKA2
CYP7B1	CYP7B1
TNKS	TNKS
PGM3	PGM3
MOGAT2	MOGAT2
SUGT1	SUGT1
SCIN	SCIN
PPEF1	PPEF1
ERI1	ERI1
DGAT2	DGAT2
RS1	RS1
TOX	TOX
DDX1	DDX1
GGH	GGH
ELF1	ELF1
TTPA	TTPA
SP8	SP8
DOPEY2	DOP1A
TFPI2	TFPI2
KLHL15	KLHL15
YTHDF3	YTHDF3
PPP1R3B	PPP1R3B
WBP4	WBP4
UBE3D	UBE3D
ID2	ID2
ARMC1	ARMC1
APOO	APOO
TPBG	TPBG
SAT1	SAT1
NUP98	NUP98
MTFR1	MTFR1
TAP2	TAP2
KIDINS220	KIDINS220
BMP2K	BMP2K
PGAP2	PGAP2
MTRF1	MTRF1
PAQR3	PAQR3
PRAG1	PRAG1
IBTK	IBTK
NAA16	NAA16
RHOG	RHOG
ANTXR2	ANTXR2
RGCC	RGCC
ACOT9	ACOT9
PRKG2	PRKG2
MBOAT2	MBOAT2
FAM46A	TENT5A
PKD2	PKD2
EYA1	EYA1
PRDX4	PRDX4
MAP3K7	MAP3K7
ITGA8	ITGA8
AREG	AREG
STIM1	STIM1
HEPACAM2	HEPACAM2
RRM1	RRM1
ASAP2	ASAP2
VPS50	VPS50
PHEX	PHEX
ITGB1BP1	ITGB1BP1
DGKH	DGKH
CALCR	CALCR
VEGFC	VEGFC
PEX2	PEX2
SMS	SMS
AKAP11	AKAP11
CPSF3	CPSF3
BACH2	BACH2
MBTPS2	MBTPS2
TNFSF11	TNFSF11
IAH1	IAH1
IL7	IL7
CASP8AP2	CASP8AP2
COL1A2	COL1A2
MDN1	MDN1
EREG	EREG
STMN2	STMN2
HEY1	HEY1
EPSTI1	EPSTI1
ADAM17	ADAM17
ENOX1	ENOX1
YWHAQ	YWHAQ
ASNS	ASNS
UBE2J1	UBE2J1
WDR17	WDR17
PXDN	PXDN
GABRR2	GABRR2
C1GALT1	C1GALT1
CHMP4C	CHMP4C
ASB5	ASB5
SNX16	SNX16
PM20D2	PM20D2
LACC1	LACC1
PNRC1	PNRC1
KCNS3	KCNS3
ZC2HC1A	ZC2HC1A
IMPAD1	BPNT2
CDS1	CDS1
CCDC122	CCDC122
ADI1	ADI1
FAM110B	FAM110B
RPS7	RPS7
COLEC11	COLEC11
RNGTT	RNGTT
SGCE	SGCE
NUFIP1	NUFIP1
DYNC1I1	DYNC1I1
WDFY3	WDFY3
GPALPP1	GPALPP1
UBXN2B	UBXN2B
GTF2F2	GTF2F2
CYP7A1	CYP7A1
NOL10	NOL10
GDAP1	GDAP1
PPM1K	PPM1K
CNR1	CNR1
SOX11	SOX11
PI15	PI15
TPT1	TPT1
ADGRL3	ADGRL3
RPL7	RPL7
RDH10	RDH10
RSAD2	RSAD2
SLC25A30	SLC25A30
SNX13	SNX13
CRISPLD1	CRISPLD1
RNF144A	RNF144A
ODC	ODC1
COG3	COG3
HNF4G	HNF4G
TECRL	TECRL
SPACA1	SPACA1
MYCN	MYCN
IGFBP7	IGFBP7
RDH14	RDH14
SLC25A13	SLC25A13
AKIRIN2	AKIRIN2
POLR2B	POLR2B
NT5C1B	NT5C1B
ERICH1	ERICH1
NOA1	NOA1
REST	REST
SARAF	SARAF
TDRP	TDRP
ORC3	ORC3
LEPROTL1	LEPROTL1
SIAH3	SIAH3
ENPEP	ENPEP
FBXO25	FBXO25
RARS2	RARS2
STAU2	STAU2
ZC3H13	ZC3H13
SRP72	SRP72
ZFHX4	ZFHX4
ARL9	ARL9
CPB2	CPB2
SLCO5A1	SLCO5A1
FAM110C	FAM110C
SLC35A1	SLC35A1
PRDM14	PRDM14
UGT8	UGT8
HDAC9	HDAC9
CFAP206	CFAP206
ARSJ	ARSJ
SPARCL1	SPARCL1
NCOA2	NCOA2
LCA5	LCA5
ELOVL6	ELOVL6
ITGB8	ITGB8
LCP1	LCP1
LACTB2	LACTB2
EGF	EGF
LRIT3	LRIT3
KLHL8	KLHL8
GAB2	GAB2
PHIP	PHIP
SH3YL1	SH3YL1
RUBCNL	RUBCNL
SP4	SP4
ZNF292	ZNF292
RRH	RRH
IRAK1BP1	IRAK1BP1
MAPK10	MAPK10
GAR1	GAR1
LRCH1	LRCH1
CFI	CFI
XKR9	XKR9
ESD	ESD
MSGN1	MSGN1
PLA2G12A	PLA2G12A
PHF14	PHF14
TCEB1	ELOC
SUCLA2	SUCLA2
TMEM70	TMEM70
NUDT15	NUDT15
HTR1B	HTR1B
LY96	LY96
MED4	MED4
CLUL1	CLUL1
YES1	YES1
CLVS1	CLVS1
ARHGAP24	ARHGAP24
CASP6	CASP6
TYMS	TYMS
ITM2B	ITM2B
OPRK1	OPRK1
COPS4	COPS4
THSD7A	THSD7A
MCUB	MCUB
NDST4	NDST4
LIN54	LIN54
RB1	RB1
MIOS	MIOS
HTR1E	HTR1E
LPAR6	LPAR6
COLEC12	COLEC12
SEC31A	SEC31A
IMPG1	IMPG1
CYSLTR2	CYSLTR2
ASPH	ASPH
SNTG1	SNTG1
PENK	PENK
MYO6	MYO6
CHCHD7	CHCHD7
FNDC3A	FNDC3A
ICA1	ICA1
SDR16C5	SDR16C5
MLNR	MLNR
LARP7	LARP7
CDADC1	CDADC1
HNRNPDL	HNRNPDL
NKAIN3	NKAIN3
HNRNPD	HNRNPD
ARL4A	ARL4A
SENP6	SENP6
ALPK1	ALPK1
PLAG1	PLAG1
CAB39L	CAB39L
RNF138	RNF138
SETDB2	SETDB2
DNAJC5B	DNAJC5B
FILIP1	FILIP1
SHROOM3	SHROOM3
TMEM30A	TMEM30A
ETV1	ETV1
MEP1B	MEP1B
ARL11	ARL11
SGK3	SGK3
COX7A2	COX7A2
AP1AR	AP1AR
RPS20	RPS20
RB1CC1	RB1CC1
UTP3	UTP3
NCOA7	NCOA7
DGKB	DGKB
ANKRD50	ANKRD50
COL12A1	COL12A1
ARID1B	ARID1B
PCMTD1	PCMTD1
SCARB2	SCARB2
AGMO	AGMO
ECHDC1	ECHDC1
SPRY1	SPRY1
STBD1	STBD1
TRIM55	TRIM55
NDUFAF4	NDUFAF4
MANEA	MANEA
EPHA7	EPHA7
MCMDC2	MCMDC2
NUDT6	NUDT6
ST18	ST18
CRH	CRH
NUP54	NUP54
PRDM13	PRDM13
CROT	CROT
PPEF2	PPEF2
KPNA3	KPNA3
RBBP8	RBBP8
TCF24	TCF24
PPP1R42	PPP1R42
NAAA	NAAA
SPRYD7	SPRYD7
SDAD1	SDAD1
COPS5	COPS5
JCHAIN	JCHAIN
ST8SIA6	ST8SIA6
BBS12	BBS12
BMI1	BMI1
CABLES1	CABLES1
CPA6	CPA6
RNF146	RNF146
RSPO3	RSPO3
REPS1	REPS1
SNX14	SNX14
CCDC28A	CCDC28A
SPAG6	SPAG6
NT5E	NT5E
RUNDC3B	RUNDC3B
IL21	IL21
PTF1A	PTF1A
TAF1B	TAF1B
ARMC3	ARMC3
NHSL1	NHSL1
SLC25A40	SLC25A40
ADAD1	ADAD1
DBF4	DBF4
RUFY3	RUFY3
CCNC	CCNC
PREX2	PREX2
ADAM22	ADAM22
TMEM241	TMEM241
ARFGEF3	ARFGEF3
MEOX2	MEOX2
USP45	USP45
MOB1B	MOB1B
CCN2	CCN2
RPS12	RPS12
PIP4K2A	PIP4K2A
ADARB2	ADARB2
DCK	DCK
SLC18B1	SLC18B1
SULF1	SULF1
ISPD	CRPPA
PNISR	PNISR
NPC2	NPC2
DSG2	DSG2
PDLIM5	PDLIM5
TAAR1	TAAR1
TRDMT1	TRDMT1
LTBP2	LTBP2
STX7	STX7
BMPR1B	BMPR1B
B4GALT6	B4GALT6
SLC4A4	SLC4A4
ZNF438	ZNF438
SOSTDC1	SOSTDC1
FAXC	FAXC
CEP128	CEP128
MOXD1	MOXD1
ANKMY2	ANKMY2
TRAPPC8	TRAPPC8
GC	GC
NPFFR2	NPFFR2
FBXL4	FBXL4
TSHR	TSHR
UNC5C	UNC5C
TSPAN13	TSPAN13
GJD4	GJD4
ATP6V1H	ATP6V1H
SYNJ2	SYNJ2
MMS22L	MMS22L
ILDR1	ILDR1
AGR2	AGR2
ZBTB10	ZBTB10
ISCA2	ISCA2
ADAMTS3	ADAMTS3
PNLDC1	PNLDC1
AGR3	AGR3
CCNY	CCNY
BOC	BOC
COX18	COX18
RGS20	RGS20
SERAC1	SERAC1
STXBP6	STXBP6
RAP1GDS1	RAP1GDS1
TCEA1	TCEA1
AHR1A	AHR
TCP1	TCP1
NOVA1	NOVA1
ANKRD17	ANKRD17
ACAT2	ACAT2
CLDND1	CLDND1
SRI	SRI
AGA	AGA
LYPLA1	LYPLA1
NEIL3	NEIL3
JDP2	JDP2
TULP4	TULP4
ZNF704	ZNF704
STEAP4	STEAP4
CLDN23	CLDN23
ABHD10	ABHD10
LIG1	LIG1
WTAP	WTAP
MRPL15	MRPL15
TAGLN3	TAGLN3
ZNF804B	ZNF804B
CUL2	CUL2
TSPAN5	TSPAN5
PAG1	PAG1
CUBN	CUBN
ERMARD	ERMARD
TMPRSS7	TMPRSS7
RSU1	RSU1
ZPLD1	ZPLD1
XKR4	XKR4
FAM188A	MINDY3
CDX2	CDX2
TCTE3	DYNLT2
TGS1	TGS1
GSX1	GSX1
FAM237B	FAM237B
MBIP	MBIP
PHF10	PHF10
HBS1L	HBS1L
METAP1	METAP1
GTPBP10	GTPBP10
NKX2-1	NKX2-1
ELMOD1	ELMOD1
BBX	BBX
OTUD1	OTUD1
WDR27	WDR27
ALKBH8	ALKBH8
C1QL3	C1QL3
CLDN12	CLDN12
CD47	CD47
LYN	LYN
PTER	PTER
PAX9	PAX9
TRMT10A	TRMT10A
FLT3	FLT3
THBS2	THBS2
HTR2A	HTR2A
CDK14	CDK14
NKX2-8	NKX2-8
RIOK3	RIOK3
FZD1	FZD1
PTPRK	PTPRK
ZC3H12C	ZC3H12C
C18orf8	RMC1
THEMIS	THEMIS
ATM	ATM
TTLL2	TTLL2
ZEB1	ZEB1
NPC1	NPC1
SLC25A21	SLC25A21
NPAT	NPAT
KIAA0408	KIAA0408
STAP1	STAP1
MIPOL1	MIPOL1
KRIT1	KRIT1
FOXA1	FOXA1
ACAT1	ACAT1
HEY2	HEY2
UBA6	UBA6
GATAD1	GATAD1
CUL5	CUL5
ANKRD29	ANKRD29
RRAGD	RRAGD
KIF25	KIF25
HDDC2	HDDC2
SPTLC2	SPTLC2
CIP2A	CIP2A
SVIL	SVIL
DDX10	DDX10
ALKBH1	ALKBH1
RAB39A	RAB39A
SLIRP	SLIRP
AFDN	AFDN
PEX1	PEX1
TPD52L1	TPD52L1
KIAA1462	JCAD
SLC35F2	SLC35F2
TRAT1	TRAT1
YTHDC1	YTHDC1
MTPAP	MTPAP
SNW1	SNW1
RNF217	RNF217
MAP3K8	MAP3K8
GPR158	GPR158
ADCK1	ADCK1
GUCA1C	GUCA1C
EXPH5	EXPH5
CDK6	CDK6
NKAIN2	NKAIN2
NRXN3	NRXN3
STX11	STX11
FERD3L	FERD3L
KDELC2	POGLUT3
THOC1	THOC1
FAT4	FAT4
USP14	USP14
NECTIN3	NECTIN3
THNSL1	THNSL1
